id;code;date_debut;date_fin;details
1;interface;2021-06-21;2021-06-21;HDD Account
2;Metrics;2021-06-21;2021-06-22;compress Buckinghamshire
3;Account;2021-06-22;2021-06-21;Bedfordshire Lilangeni Incredible
4;cross-platform;2021-06-21;2021-06-21;Representative Afghanistan
5;Bacon Jewelery connect;2021-06-21;2021-06-22;Guam
6;open-source;2021-06-22;2021-06-22;empowering
7;e-commerce Forest hacking;2021-06-22;2021-06-21;Forward
8;Walks alarm;2021-06-21;2021-06-21;Accountability Valley
9;one-to-one;2021-06-21;2021-06-22;auxiliary of Generic
10;Island supply-chains;2021-06-21;2021-06-22;Auto
