id;code;nom;description;date;date_fin;fichier;fichier_content_type
1;fuchsia alarm superstructure;Rupee alarm Music;customized;2021-06-21;2021-06-21;../fake-data/blob/hipster.png;image/png
2;back-end;International calculate;Communications transitional application;2021-06-21;2021-06-21;../fake-data/blob/hipster.png;image/png
3;Open-architected Tuna;Wooden compress;needs-based transmitting;2021-06-22;2021-06-21;../fake-data/blob/hipster.png;image/png
4;circuit;user Home Direct;Mount cross-platform;2021-06-21;2021-06-22;../fake-data/blob/hipster.png;image/png
5;Buckinghamshire up;ability Borders innovate;system Product;2021-06-22;2021-06-21;../fake-data/blob/hipster.png;image/png
6;blue seamless;Card Towels Hat;supply-chains AI navigating;2021-06-22;2021-06-21;../fake-data/blob/hipster.png;image/png
7;Account Architect;engineer haptic Money;Argentina Direct HDD;2021-06-21;2021-06-21;../fake-data/blob/hipster.png;image/png
8;compress Ergonomic;Road quantifying;navigating innovate;2021-06-22;2021-06-22;../fake-data/blob/hipster.png;image/png
9;scale Computers;Granite;salmon;2021-06-21;2021-06-21;../fake-data/blob/hipster.png;image/png
10;pink Investment Chief;Plastic;California Dynamic;2021-06-22;2021-06-21;../fake-data/blob/hipster.png;image/png
