id;code;nom;description;photo
1;Taka Persistent Human;overriding Direct;pink Cambridgeshire;compelling Outdoors
2;Kansas Checking;withdrawal Lebanon;Rubber;Dynamic synthesize
3;payment Visionary web-readiness;Factors;repurpose;optical ADP Granite
4;Sleek withdrawal Books;integrated Buckinghamshire;24;index bluetooth implementation
5;Executive User-friendly;Computer navigate navigating;e-services feed Metal;cross-platform
6;Michigan synthesizing;HDD Dollar;target;vertical
7;analyzing Avon Borders;mesh;Steel;Marino applications
8;Agent didactic pricing;Buckinghamshire intuitive Car;application protocol;Consultant copying Bike
9;Gorgeous leverage;next-generation;Tactics;Table
10;experiences;Credit;Reverse-engineered Arizona;California
