id;code;nom;description
1;Borders;web-readiness synthesize;Future deposit
2;customized Solutions grey;Regional;Savings
3;withdrawal;Pound initiatives;synergies Grocery invoice
4;withdrawal Coordinator overriding;payment feed;Singapore
5;primary reinvent;Metrics;Generic Trace incubate
6;Lesotho Nevada Fantastic;Finland Well HTTP;Consultant Intelligent synthesize
7;navigating matrix;Chair;Practical collaborative 1080p
8;Dollar plum;Money Fish;Seamless
9;Jewelery;Somoni Bedfordshire;Investment Granite
10;online;Account District responsive;Wooden Market
