id;code;date;montant;description
1;Island initiatives niches;2021-06-22;49871;Plastic
2;Frozen;2021-06-21;68412;navigating
3;Somoni primary Frozen;2021-06-22;10177;indexing index
4;Analyst;2021-06-21;23598;Ball
5;partnerships;2021-06-21;3620;teal paradigms
6;Cedi;2021-06-22;87124;azure Forward
7;Internal systems;2021-06-22;16638;withdrawal orchid
8;redundant silver;2021-06-21;17881;PCI reintermediate alarm
9;Architect value-added;2021-06-21;29807;Card
10;California Wooden Israel;2021-06-21;5729;Solutions Intelligent portals
