id;code;nom;description
1;e-tailers;utilize Pizza;Cheese
2;Practical;Rue;driver white
3;transmit;Dynamic clear-thinking Territory;Kids
4;matrix methodologies Lodge;mobile;Ruble payment
5;Pants Road Borders;Industrial Computers;Unbranded withdrawal
6;XML SQL;invoice USB Iowa;Burgs Soft
7;6th Extension;silver;e-tailers interactive transmitting
8;Planner quantifying Intelligent;Serbian Fresh killer;turn-key Connecticut
9;Grocery;Pataca Ukraine application;Dollar Internal help-desk
10;1080p convergence generation;hack Arizona invoice;empower
