id;code;nom;description;logo;logo_content_type
1;Outdoors Forge;technologies navigate Metal;monitoring Concrete;../fake-data/blob/hipster.png;image/png
2;global connecting Ranch;transmitter Rubber RSS;up Practical;../fake-data/blob/hipster.png;image/png
3;Yemeni Lights connect;Shirt;end-to-end Re-contextualized Nebraska;../fake-data/blob/hipster.png;image/png
4;magenta;Credit;Product Small superstructure;../fake-data/blob/hipster.png;image/png
5;data-warehouse;alarm Soft;Rustic;../fake-data/blob/hipster.png;image/png
6;Indiana;salmon Infrastructure stable;Wyoming wireless;../fake-data/blob/hipster.png;image/png
7;calculating;Chips Developer multi-byte;primary;../fake-data/blob/hipster.png;image/png
8;projection;Corners transform Handmade;utilize;../fake-data/blob/hipster.png;image/png
9;Cotton Granite Cambridgeshire;Concrete orange input;GB;../fake-data/blob/hipster.png;image/png
10;24/7 Frozen;National primary;invoice fuchsia Forward;../fake-data/blob/hipster.png;image/png
