id;code;nom;description
1;hack Liaison vertical;Kentucky;Hryvnia
2;Focused;actuating programming;real-time
3;Movies Home infrastructures;Direct;Face withdrawal
4;orchid Factors;New;AGP
5;Philippines;Fish local gold;concept
6;Sports index Innovative;Borders Streamlined reboot;Tuna Persevering
7;concept deposit;communities Auto transmit;Berkshire
8;Trace Borders;Dollar port;Metal end-to-end Fantastic
9;neural invoice collaborative;panel Islands blue;driver Steel
10;Customer copy;Open-architected Developer;exuding white
