id;nom;description;date;heure_debut;heure_fin
1;testing Focused;Haiti zero monitor;2021-06-21;RAM Darussalam;indigo Interactions
2;Division Toys;Expressway;2021-06-22;FTP Enhanced Generic;Norwegian
3;innovative IB application;Colorado Architect;2021-06-21;Berkshire Ferry Garden;compress
4;Integration deposit;FTP mobile proactive;2021-06-22;navigating;Keyboard Associate Guam
5;Credit;Refined reboot;2021-06-21;cyan projection IB;markets Handmade Fresh
6;Solutions Developer Lights;web-readiness concept Multi-channelled;2021-06-21;Intranet;quantify Fresh
7;cutting-edge invoice;input Grocery purple;2021-06-21;Account;Account Landing HDD
8;port Marketing Object-based;Steel;2021-06-21;motivating;Future CFA Beauty
9;Gorgeous;robust invoice Creative;2021-06-21;Lead whiteboard Hill;best-of-breed Directives
10;paradigms;front-end;2021-06-21;Garden Oregon base;Somoni
