id;code;nom;description;programme_expression;duree
1;Dominica Incredible Principal;open-source Concrete;Hat Licensed blockchains;Home;30061
2;solid RAM Plastic;Analyst;tertiary Corporate South;experiences Response;56060
3;Soft XML Licensed;Mouse THX;modular protocol Customer-focused;bandwidth haptic China;9957
4;Connecticut client-server;Granite attitude open-source;Web;CSS;75714
5;withdrawal Regional COM;PCI;matrices;Garden Tasty Technician;93538
6;pixel magenta hacking;Cape Ranch;Frozen;Auto Turnpike;18242
7;Sharable Generic time-frame;Sleek Licensed Engineer;Canyon bluetooth architectures;Unbranded;31436
8;envisioneer Manager hacking;bypassing Dynamic Principal;digital Factors Future;synergies toolset;15496
9;Chips;Supervisor Account utilisation;Suriname Soft value-added;encompassing;82278
10;open-source online Cross-platform;Roads Intuitive;face;Iowa Brand Bedfordshire;48037
