id;code;nom;description;fichier;fichier_content_type
1;models Liaison;Investment Account Loan;turquoise;../fake-data/blob/hipster.png;image/png
2;scalable;Baby;matrix;../fake-data/blob/hipster.png;image/png
3;installation invoice;Account compress SSL;(Vatican Hawaii;../fake-data/blob/hipster.png;image/png
4;deposit Industrial approach;Sausages;Chicken Games Ball;../fake-data/blob/hipster.png;image/png
5;overriding reboot;testing;generate;../fake-data/blob/hipster.png;image/png
6;Madagascar JBOD Forward;adapter multi-byte Borders;Dakota Shoes;../fake-data/blob/hipster.png;image/png
7;extranet;transparent;e-enable Games;../fake-data/blob/hipster.png;image/png
8;Loan;Shoals Chile;challenge;../fake-data/blob/hipster.png;image/png
9;Manager extend;feed methodology withdrawal;Table Programmable Vermont;../fake-data/blob/hipster.png;image/png
10;heuristic Checking orchestration;Keys grey;generating Intelligent Specialist;../fake-data/blob/hipster.png;image/png
