id;code;nom;description
1;input;Intelligent;infrastructures
2;Response Customer;Fish exploit Creative;Georgia Accountability lime
3;Islands, experiences Sleek;Sleek;Steel
4;Thailand Nepal;Account;systemic primary
5;Orchestrator;Refined;olive pricing
6;silver;dynamic Market Sleek;Multi-layered Uzbekistan Comoro
7;port;Gloves;Industrial auxiliary empowering
8;Niger benchmark SMTP;primary;Ergonomic Dinar
9;Gloves;TCP homogeneous;Toys disintermediate Bedfordshire
10;Alabama Canada Credit;mobile;Berkshire India
