id;code;nom;description;logo;logo_content_type
1;withdrawal flexibility Fresh;Oklahoma;circuit deploy Liberia;../fake-data/blob/hipster.png;image/png
2;proactive;optical THX Borders;Licensed;../fake-data/blob/hipster.png;image/png
3;Paradigm invoice Mouse;bypassing;exuding microchip;../fake-data/blob/hipster.png;image/png
4;Berkshire Metal;Naira;back-end Wooden;../fake-data/blob/hipster.png;image/png
5;discrete Decentralized;SAS Buckinghamshire;Alabama Concrete;../fake-data/blob/hipster.png;image/png
6;Arizona;Chips United withdrawal;Functionality value-added scalable;../fake-data/blob/hipster.png;image/png
7;pixel Soft;parse XML strategy;Administrator;../fake-data/blob/hipster.png;image/png
8;Health Iowa;Central;extensible copying generation;../fake-data/blob/hipster.png;image/png
9;Hawaii;PCI;panel Locks;../fake-data/blob/hipster.png;image/png
10;bi-directional Savings Toys;structure Usability;Practical Account;../fake-data/blob/hipster.png;image/png
