id;code;nom;description
1;Vanuatu;Kenya;Baby Baby
2;withdrawal Account;optical Handcrafted azure;system Configuration Wooden
3;Interactions Computers;Toys scalable;Bike
4;value-added;AGP violet;multi-state
5;Nevada Shoes;National;Berkshire Birr
6;Tuna users Cambridgeshire;Total;deposit Loan initiative
7;Tasty;Tennessee parsing wireless;deposit Handmade
8;Unbranded Dinar empowering;Dollar Chicken backing;Track
9;matrix;Chips Account;CSS programming adapter
10;Incredible Legacy Bacon;Internal;Accountability innovative
