id;code;nom;description
1;Handmade;Steel Shoes;Bike North Burundi
2;Fresh compressing;alliance;open
3;turquoise;Ferry Market;Supervisor Cotton
4;Alaska;Triple-buffered Automated parsing;Japan compressing grid-enabled
5;Shilling vertical Extension;withdrawal;budgetary
6;Organic generating Roads;quantify Leu Liaison;application Chicken
7;impactful;red 24/7;cross-platform Assurance
8;Chief;Fish digital deliverables;fuchsia AI Intelligent
9;Shirt Small;B2B;parse lime Lodge
10;Belize Buckinghamshire;moratorium Handmade Ridge;connect Architect Avon
